Date,Artist,Song
4/12/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/13/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/14/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/15/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/16/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/17/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/18/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/19/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/20/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/21/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/22/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/23/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/24/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/25/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/26/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/27/1997,The Notorious B.I.G.,Hypnotize
4/28/1997,The Notorious B.I.G.,Hypnotize
4/29/1997,The Notorious B.I.G.,Hypnotize
4/30/1997,The Notorious B.I.G.,Hypnotize
5/1/1997,The Notorious B.I.G.,Hypnotize
5/2/1997,The Notorious B.I.G.,Hypnotize
5/3/1997,The Notorious B.I.G.,Hypnotize
5/4/1997,The Notorious B.I.G.,Hypnotize
5/5/1997,The Notorious B.I.G.,Hypnotize
5/6/1997,The Notorious B.I.G.,Hypnotize
5/7/1997,The Notorious B.I.G.,Hypnotize
5/8/1997,The Notorious B.I.G.,Hypnotize
5/9/1997,The Notorious B.I.G.,Hypnotize
5/10/1997,The Notorious B.I.G.,Hypnotize
5/11/1997,The Notorious B.I.G.,Hypnotize
5/12/1997,The Notorious B.I.G.,Hypnotize
5/13/1997,The Notorious B.I.G.,Hypnotize
5/14/1997,The Notorious B.I.G.,Hypnotize
5/15/1997,The Notorious B.I.G.,Hypnotize
5/16/1997,The Notorious B.I.G.,Hypnotize
5/17/1997,The Notorious B.I.G.,Hypnotize
5/18/1997,Hanson,MMMBop
5/19/1997,Hanson,MMMBop
5/20/1997,Hanson,MMMBop
5/21/1997,Hanson,MMMBop
5/22/1997,Hanson,MMMBop
5/23/1997,Hanson,MMMBop
5/24/1997,Hanson,MMMBop
5/25/1997,Hanson,MMMBop
5/26/1997,Hanson,MMMBop
5/27/1997,Hanson,MMMBop
5/28/1997,Hanson,MMMBop
