date,event,day,year
1/21,"The Swiss Anabaptist Movement is born when Conrad Grebel, Felix Manz, George Blaurock, and a dozen others baptize each other in the home of Manz's mother in Zürich, breaking a thousand-year tradition of church-state union.",21-Jan,1525
1/21,"1st American novel, WH Brown's ""Power of Sympathy"" is published.",21-Jan,1789
1/21,"Louis XVI of France is executed by the guillotine in Paris, following his conviction for high treason.",21-Jan,1793
1/21,Jawaharlal Nehru's Congress party wins general election in India.,21-Jan,1952
1/21,The Battle of Khe Sanh - one of the most publicized and controversial battles of the Vietnam War - begins at the Khe Sanh Air Base.,21-Jan,1968
1/21,"Black Monday in worldwide stock markets. FTSE 100 had its biggest ever one-day points fall, European stocks closed with their worst result since 9, and Asian stocks drop as much as 15%..",21-Jan,2008
1/22,"Prince William of Orange (future King William III of Britain), summons Convention Parliament to discuss ruling jointly with his wife Mary (daughter of exiled King James II).",22-Jan,1689
1/22,"Battle of Rorke's Drift: British garrison of 150 holds off 3,000-4,000 Zulu warriors. Eleven Victoria Crosses and a number of other decorations were awarded to the defenders..",22-Jan,1879
1/22,"In St Petersburg, Russia, a large demonstration of workers led by Father Gapon, march to the Winter Palace with a petition to the Tsar; troops fire on protesters in what becomes known as'Bloody Sunday'.",22-Jan,1905
1/22,US President Harry Truman sets up the Central Intelligence Agency.,22-Jan,1946
1/22,Roe vs Wade: US Supreme Court legalizes most abortions.,22-Jan,1973
1/23,War elephant corps of the Southern Han defeated at Shao by crossbow fire from Song Dynasty troops; Southern Han state forced to submit to the Song Dynasty. 1st regular war elephant corps in Chinese army.,23-Jan,971
1/23,"In a coronation ceremony, Zhu Yuanzhang ascends to the throne of China as the Hongwu Emperor, initiating Ming Dynasty rule over China that would last for three centuries..",23-Jan,1368
1/23,"Shaanxi Earthquake - deadliest ever recorded kills 830,000 in Shensi Province, China.",23-Jan,1556
1/23,Israeli Knesset resolves Jerusalem is capital of Israel.,23-Jan,1950
1/23,US President Richard Nixon announces an accord has been reached to end Vietnam War.,23-Jan,1973
1/23,"Sweden becomes the first nation in the world to ban aerosol sprays, believed to be damaging to earth's ozone layer..",23-Jan,1978
1/24,Claudius succeeds his nephew Caligula as Roman Emperor after the later's assassination by officers of the Praetorian Guard.,24-Jan,41
1/24,University of Calcutta founded as the first full-fledged university in South Asia.,24-Jan,1857
1/24,Rubber heel for boots or shoes patented by American Humphrey O'Sullivan.,24-Jan,1899
1/24,"Lieutenant General Robert Baden-Powell publishes ""Scouting for Boys"" as a manual for self-instruction in outdoor skills and self-improvement. The book becomes the inspiration for the Scout Movement..",24-Jan,1908
1/24,Apple Computer Inc unveils its revolutionary Macintosh personal computer.,24-Jan,1984
1/25,Founding of the city of São Paulo in Brazil.,25-Jan,1554
1/25,Battle at Talikota India: Deccan sultanate destroy Vijayanagar's army and the last Hindu kingdom of Southern India.,25-Jan,1565
1/25,American naval expedition under Charles Wilkes is first to identify Antarctica as a new continent.,25-Jan,1840
1/25,1st Israeli election won by David Ben-Gurion's Mapai party.,25-Jan,1949
1/25,Military coup in Uganda under Major General Idi Amin.,25-Jan,1971
1/25,"Egyptian Revolution of 2011 begins with a series of street demonstrations, rallies, acts of civil disobedience, labor strikes and violent clashes in Cairo, Alexandria and other major cities.",25-Jan,2011
1/26,"Pentateuch the Jewish Bible is 1st printed as a book in Bologna, Italy.",26-Jan,1482
1/26,"Lisbon hit by Earthquake; about 30,000 die.",26-Jan,1531
1/26,"The Council of Trent issued its conclusions in the Tridentinum, establishing a distinction between Roman Catholicism and Protestantism.",26-Jan,1564
1/26,"Captain Arthur Phillip and British colonists hoist the Union Flag at Sydney Cove, New South Wales, now celebrated as Australia Day.",26-Jan,1788
1/26,"President Bill Clinton says ""I want to say one thing to the American people; I did not have sexual relations with that woman, Miss Lewinsky "".",26-Jan,1998
1/27,"Rashidun Caliphate, then the largest empire in history, ends with death of Ali. Succeeded by the Umayyad Caliphate.",27-Jan,661
1/27,Russian Antarctic expedition led by Fabian Gottlieb von Bellingshausen and Mikhail Lazarev discover the continent of Antarctica.,27-Jan,1820
1/27,"U.S. Congress approves Indian Territory (in what is present-day Oklahoma), clearing the way for forced relocation of the Eastern Indians on the ""Trail of Tears"".",27-Jan,1825
1/27,"The National Geographic Society is founded in Washington, D.C. for ""the increase and diffusion of geographic knowledge"".",27-Jan,1888
1/27,"Lenin placed in Mausoleum in Red Square, Moscow.",27-Jan,1924
1/27,Siege of Leningrad lifted by the Soviets after 880 days and more than 2 million Russians killed.,27-Jan,1944
1/27,Soviet troops liberate Auschwitz and Birkenau Concentration Camps in Poland.,27-Jan,1945
1/27,"US & North Vietnam's William Rogers & Nguyen Duy Trinh sign cease-fire, ending longest US war and military draft.",27-Jan,1973
1/28,"Emperor Charles V opens the Diet of Worms in Worms, Germany which lasts until May 25th. Produced the ""Edict of Worms"" which dennouced Martin Luther.",28-Jan,1521
1/28,London's Pall Mall is 1st street lit by gaslight.,28-Jan,1807
1/28,"Jane Austen's ""Pride and Prejudice"" is published by Thomas Egerton in the United Kingdom.",28-Jan,1813
1/28,Sir Stamford Raffles lands in Singapore.,28-Jan,1819
1/28,"The name ""Pakistan"" is coined by Choudhry Rahmat Ali and gradually accepted by Muslims in the Indian sub-continent who use it to push for a separate Muslim homeland in South Asia.",28-Jan,1933
1/29,"William Shakespeare's play ""Romeo and Juliet"" is thought to have been first performed. Officially published early 1597..",29-Jan,1595
1/29,"Karl Benz patents the ""Benz Patent-Motorwagen"" in Karlsruhe, Germany, the world's 1st automobile with a burning motor.",29-Jan,1886
1/29,"The Coca-Cola Company is incorporated in Atlanta, Georgia.",29-Jan,1892
1/29,Emile Grubbe is the first doctor to use radiation treatment for breast cancer.,29-Jan,1896
1/29,"US President George W. Bush in his State of the Union address describes ""regimes that sponsor terror"" an ""Axis of Evil"", which includes Iraq, Iran and North Korea.",29-Jan,2002
1/30,"Oliver Cromwell, Lord Protector of the Commonwealth of England is ritually executed after having been dead for two years.",30-Jan,1661
1/30,"Burned US Library of Congress re-established with Thomas Jefferson's 6,500 volumes.",30-Jan,1815
1/30,"Britain and Japan sign a treaty after months of negotiating which commits each country to supporting an independent China and Korea, although it acknowledges Japan's'special interest' in Korea.",30-Jan,1902
1/30,President Paul von Hindenburg appoints Adolf Hitler as Reich Chancellor of Germany who forms a government with Franz von Papen.,30-Jan,1933
1/30,Adolf Hitler threatens Jews during his speech to the German Reichstag (Parliament).,30-Jan,1939
1/30,Mahatma Gandhi assassinated by Hindu extremist Nathuram Godse.,30-Jan,1948
1/30,State funeral of Winston Churchill at St Paul's Cathedral in London. Then world's largest ever state funeral..,30-Jan,1965
1/30,"Bloody Sunday: 27 unarmed civilians are shot (14 are killed) by the British Army during a civil rights march in Derry, Northern Ireland; this is the highest death toll from a single shooting incident during'the Troubles'.",30-Jan,1972
1/31,"Congress passes the 13th Amendment, abolishing slavery in America (passes 121-24).",31-Jan,1865
1/31,General Robert E. Lee named Commander-in-Chief of Confederate Armies during US Civil War.,31-Jan,1865
1/31,Field Marshal Friedrich Paulus surrenders to Soviet troops at Stalingrad.,31-Jan,1943
